id,source,subject,from
b'7129',,Цены плавятся🔥Босоножки до 299 грн⚡️Купальники до 199 грн⚡️Zara до 399 грн⚡️Маски для лица до 39 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7130',,"25 книжок, для захопливого читання у літню спеку","""Yakaboo.ua"" <support@yakaboo.ua>"
b'7131',, ➡ 🔥 Вигода на товари для саду та городу!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7132',,Дайджест обновлений на Shafa.ua [март-май],"""Shafa.ua"" <hello@shafa.com.ua>"
b'7133',,Холодильники Bosch: свіжіше свіжого,Comfy <comfy@mailersend.comfy.ua>
b'7134',,Upskill Your Team with DataCamp for Business,Martijn from DataCamp <team@datacamp.com>
b'7135',,Главные средства этого лета 😎,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7136',,"Задание оценено: Экзамен по главе 6, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7137',,"Задание оценено: Экзамен по главе 7, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7138',,"Задание оценено: Экзамен по главе 8, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7139',,8 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7140',,"Tamara, Вы знакомы с участником Vladislav Palamarchuk?",LinkedIn <messages-noreply@linkedin.com>
b'7141',,Самые популярные сегодня блоги,Tumblr <no-reply@tumblr.com>
b'7142',,1-Day Flash Sale: Too Many Files? Speed Up Your Slow Computer for $1.15/Month!,ASUS WebStorage <service@asuswebstorage.com>
b'7143',," Тамара, смотрите, что у Вас нового в Google Фото  ",Google Photos <noreply-photos@google.com>
b'7144',,“A Letter from the Fat Person on Your Flight” published by Your Fat Friend,Medium Daily Digest <noreply@medium.com>
b'7145',,Сподобалась книга автора Джоан Роулинг? Ми маємо ще!,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7146',,Обновите резюме — появились новые вакансии!,HeadHunter <no_reply@hh.ua>
b'7147',,"Tamara, 1 просмотр профиля, 2 приглашения и 29 обновлений ожидают Вас в LinkedIn.",LinkedIn <notifications-noreply@linkedin.com>
b'7148',,"Не пропустіть, нова публікація! Візовий центр Globus від 06/13/2019",Globus <news@globus-visa.com>
b'7149',,Рвем цены🔥Футболки до 99 грн⚡️Платья и брюки до 149 грн⚡️Сумки до 299 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7150',,"Книжковий четвер: читання у відпустку, видання з самої Британії та розіграш подарунків","""Yakaboo.ua"" <support@yakaboo.ua>"
b'7151',, ➡ 🔥 Купуйте в розстрочку без переплат!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7152',,"10 ознак того, що вас цінують на роботі","""hh.ua"" <noreply@hh.ua>"
b'7153',,We’re here for you,edX <news@edx.org>
b'7154',,"Распродажи недели: платье Marks & Spencer за 369 грн, сарафан C&A за 135 грн + 991 вещей со скидками","""Shafa.ua"" <hello@shafa.com.ua>"
b'7155',,Live Astronomy Q&A Session STARTING NOW,"""Astronomy: Exploring Time and Space Course Team"" <no-reply@t.mail.coursera.org>"
b'7156',,Your Last Chance to Get ASIN Reports...,Linus from AMZDataStudio <amzdatastudio@gmail.com>
b'7157',,"Задание оценено: Экзамен по главе 9, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7158',,"Задание оценено: Экзамен по главе 10, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7159',,"Задание оценено: Экзамен по главе 11, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7160',,"Задание оценено: Отзыв о курсе, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7161',,"Задание оценено: Final Exam - Итоговый экзамен, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7162',,4 нові вакансії «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7163',,“A New Way to Build Tiny Neural Networks Could Create Powerful AI on Your Phone” published in MIT Technology Review,Medium Daily Digest <noreply@medium.com>
b'7164',,"Задание оценено: Предварительный экзамен, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7165',,"Задание оценено: Глава 6. Оценка практических навыков в Packet Tracer, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7166',,"Задание оценено: Тренировочный итоговый экзамен, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7167',,"Задание оценено: Практический экзамен в Packet Tracer, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7168',,"Задание оценено: Instructor Use Only - Оценки учащимся могут выставлять только преподаватели, KiD-31-32-33_CCNA R&S: Introduction to Networks","""KiD-31-32-33_CCNA R&S: Introduction to Networks"" <netacadnotifications@instructure.com>"
b'7169',,Как песок на Кипре 🏖,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7170',,Ми хочемо вас повернути — беріть 15% знижки 🎁,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7171',,🚚 Еще 10 дней бесплатной доставки в отделения Укрпошты. Спешите воспользоваться!,ROZETKA <bestdeal@rozetka.com.ua>
b'7172',,"Открыта новая мобильная точка выдачи! Заказывайте доставку на ул. Регенераторную, 4",ROZETKA <bestdeal@rozetka.com.ua>
b'7173',, ➡ 🛋 Вигода до -25% на дивани.,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7174',,Комбинезоны и платья до 399 грн⚡️Брюки и майки до 199 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7175',,ЗНИЖулі до-50% ➨,Comfy <comfy@mailersend.comfy.ua>
b'7176',,10 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7177',,До пляжу та відпочинку готові? Необхідні товари від надійних продавців,"""Prom.ua"" <newsletter@email.prom.ua>"
b'7178',,Our video will help you become a PyViz superstar,Whitney at Anaconda <ambassador@anaconda.com>
b'7179',,“What Seven Years at Airbnb Taught Me About Building a Business” published by Lenny Rachitsky,Medium Daily Digest <noreply@medium.com>
b'7180',,Разыгрываем ту самую массажную щетку Foreo 💆,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7181',,H&M до 399 грн⚡️Oodji до 299 грн⚡️Кеды и слипоны до 299 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7182',,All fathers used to be sons,Human Parts <editors-picks@medium.com>
b'7183',,🎂 Наташа Олейник отмечает сегодня день рождения. Не забудьте отправить поздравления!,Facebook <notification@facebookmail.com>
b'7184',,📄 Павел Мельников поделился публикацией Фонотека упоротого Лиса.,Facebook <notification@facebookmail.com>
b'7185',,“What Poverty Taught Me About Being ‘Too Generous’” published in Human Parts by Kristine Levine,Medium Daily Digest <noreply@medium.com>
b'7186',,Ви ще встигнете на знижки! 🚀,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7187',,"Не пропустіть, нова публікація! Візовий центр Globus від 06/16/2019",Globus <news@globus-visa.com>
b'7188',,Сарафаны до 589 грн⚡️Купальники -60%,Kasta <modnakasta@mailman.modnakasta.ua>
b'7189',,"Тамара, войдите на Facebook одним кликом",Facebook <security@facebookmail.com>
b'7190',,"Тамара, войдите на Facebook одним кликом",Facebook <security@facebookmail.com>
b'7191',,20+ нових вакансій «Junior Data Analyst» у Києві за тиждень,"""Work.ua"" <website@work.ua>"
b'7192',,“You’re Not Meant to Do What You Love” published by Brianna Wiest,Medium Daily Digest <noreply@medium.com>
b'7193',,"-20% на ""Щоденники Вишеньки"" та інші дитячі книжки","""Yakaboo.ua"" <support@yakaboo.ua>"
b'7194',,Очуметь😍Футболки до 99 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7195',,Эпичная битва в PARFUMS.UA 🧨,"""PARFUMS.UA"" <sale@parfums.ua>"
b'7196',,ЗНИЖулі до-50% чекають!,Comfy <comfy@mailersend.comfy.ua>
b'7197',,"If Cersei had these, the battle might have been different...",Codecademy <learn@codecademy.com>
b'7198',,"Популярные женские и мужские вещи прошлой недели от Dorothy Perkins, Esprit, Nike, Nine West и еще 1985 товаров от мировых брендов",Шафа <hello@shafa.com.ua>
b'7199',,Спецдоставка из ленты Tumblr,Tumblr <no-reply@tumblr.com>
b'7200',,6 нових вакансій «Junior Data Analyst» у Києві,"""Work.ua"" <website@work.ua>"
b'7201',,“Thoughts About What Truly Matters And Aldous Huxley” published by Harry J. Stead,Medium Daily Digest <noreply@medium.com>
b'7202',,Цей лист самовидалиться через 48 годин...,"""Yakaboo.ua"" <support@yakaboo.ua>"
b'7203',,"Не пропустіть, нова публікація! Візовий центр Globus від 06/18/2019",Globus <news@globus-visa.com>
b'7204',,"Лето, английский, путешествия!","""STUDY.UA Summer"" <newslist@obuchenie.com.ua>"
b'7205',,К лету готовы⁉️Купальники от 69 грн🔥Шлепанцы от 59 грн🔥Полотенца от 14 грн,Kasta <modnakasta@mailman.modnakasta.ua>
b'7206',, ➡ 🔥 Ваш промокод на вигоду!,"""27.ua інтернет-гіпермаркет"" <promo@e-mail.27.ua>"
b'7207',,Master Python with DataCamp for Business,DataCamp <team@datacamp.com>
